"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2024","5,346.99","5,298.88","5,375.65","5,233.26","","1.32%"
"05/26/2024","5,277.51","5,311.75","5,313.88","5,191.60","","-0.51%"
"05/19/2024","5,304.72","5,304.88","5,339.53","5,256.97","","0.03%"
"05/12/2024","5,303.27","5,238.13","5,325.96","5,210.75","","1.54%"
"05/05/2024","5,222.68","5,152.38","5,239.91","5,148.13","","1.85%"
"04/28/2024","5,127.79","5,117.63","5,139.77","5,010.24","","0.55%"
"04/21/2024","5,099.96","4,993.18","5,114.62","4,969.56","","2.67%"
"04/14/2024","4,967.23","5,169.75","5,169.75","4,953.77","","-3.05%"
"04/07/2024","5,123.40","5,211.40","5,224.80","5,107.90","","-1.55%"
"03/31/2024","5,204.30","5,258.00","5,263.90","5,146.10","","-0.95%"
"03/24/2024","5,254.40","5,219.50","5,264.90","5,203.40","","0.39%"
"03/17/2024","5,234.20","5,154.80","5,261.10","5,131.60","","2.29%"
"03/10/2024","5,117.10","5,112.00","5,179.90","5,091.10","","-0.13%"
"03/03/2024","5,123.70","5,131.00","5,189.30","5,056.80","","-0.26%"
"02/25/2024","5,137.10","5,093.00","5,140.30","5,057.30","","0.95%"
"02/18/2024","5,088.80","4,989.30","5,111.10","4,946.00","","1.66%"
"02/11/2024","5,005.60","5,026.80","5,048.40","4,920.30","","-0.42%"
"02/04/2024","5,026.60","4,957.20","5,030.10","4,918.10","","1.37%"
"01/28/2024","4,958.60","4,892.90","4,975.30","4,845.10","","1.38%"
"01/21/2024","4,891.00","4,853.40","4,906.70","4,844.10","","1.06%"
"01/14/2024","4,839.80","4,772.40","4,842.10","4,714.80","","1.17%"
"01/07/2024","4,783.80","4,703.70","4,802.40","4,699.80","","1.84%"
"12/31/2023","4,697.20","4,745.20","4,754.30","4,682.10","","-1.52%"
"12/24/2023","4,769.80","4,758.90","4,793.30","4,752.00","","0.32%"
"12/17/2023","4,754.60","4,725.60","4,778.00","4,697.80","","0.75%"
"12/10/2023","4,719.20","4,593.40","4,738.60","4,593.40","","2.49%"
"12/03/2023","4,604.40","4,564.40","4,609.20","4,546.50","","0.21%"
"11/26/2023","4,594.60","4,554.90","4,599.40","4,537.20","","0.77%"
"11/19/2023","4,559.30","4,511.70","4,568.40","4,510.40","","1.00%"
"11/12/2023","4,514.00","4,406.70","4,521.20","4,393.80","","2.24%"
"11/05/2023","4,415.20","4,364.30","4,418.00","4,343.90","","1.31%"
"10/29/2023","4,358.30","4,139.40","4,373.60","4,132.90","","5.85%"
"10/22/2023","4,117.40","4,210.40","4,259.40","4,103.80","","-2.53%"
"10/15/2023","4,224.20","4,342.40","4,393.60","4,223.00","","-2.39%"
"10/08/2023","4,327.80","4,289.00","4,385.90","4,283.80","","0.45%"
"10/01/2023","4,308.50","4,284.50","4,324.10","4,216.40","","0.48%"
"09/24/2023","4,288.10","4,310.60","4,338.50","4,238.60","","-0.74%"
"09/17/2023","4,320.10","4,445.10","4,466.40","4,316.50","","-2.93%"
"09/10/2023","4,450.30","4,481.00","4,512.00","4,447.20","","-0.16%"
"09/03/2023","4,457.50","4,510.10","4,514.30","4,430.50","","-1.29%"
"08/27/2023","4,515.80","4,426.00","4,541.20","4,415.00","","2.50%"
"08/20/2023","4,405.70","4,380.30","4,458.30","4,356.30","","0.82%"
"08/13/2023","4,369.70","4,458.10","4,490.30","4,335.30","","-2.11%"
"08/06/2023","4,464.10","4,491.60","4,527.40","4,444.00","","-0.31%"
"07/30/2023","4,478.00","4,584.80","4,594.20","4,474.60","","-2.27%"
"07/23/2023","4,582.20","4,543.40","4,607.10","4,528.60","","1.01%"
"07/16/2023","4,536.30","4,508.90","4,578.40","4,504.90","","0.69%"
"07/09/2023","4,505.40","4,394.20","4,527.80","4,389.90","","2.42%"
"07/02/2023","4,398.90","4,450.50","4,456.50","4,385.10","","-1.16%"
"06/25/2023","4,450.40","4,344.80","4,458.50","4,328.10","","2.35%"
"06/18/2023","4,348.30","4,396.10","4,400.10","4,341.30","","-1.39%"
"06/11/2023","4,409.60","4,308.30","4,448.50","4,304.40","","2.58%"
"06/04/2023","4,298.90","4,283.00","4,322.60","4,261.10","","0.39%"
"05/28/2023","4,282.40","4,226.70","4,290.70","4,166.10","","1.83%"
"05/21/2023","4,205.40","4,190.80","4,212.90","4,104.00","","0.32%"
"05/14/2023","4,192.00","4,126.60","4,212.90","4,109.90","","1.65%"
"05/07/2023","4,124.10","4,137.00","4,154.30","4,098.90","","-0.29%"
"04/30/2023","4,136.20","4,166.80","4,186.90","4,048.30","","-0.80%"
"04/23/2023","4,169.50","4,132.10","4,170.10","4,049.30","","0.87%"
"04/16/2023","4,133.50","4,137.20","4,169.50","4,113.90","","-0.10%"
"04/09/2023","4,137.60","4,085.20","4,163.20","4,072.60","","0.79%"
"04/02/2023","4,105.00","4,102.20","4,133.10","4,069.80","","-0.10%"
"03/26/2023","4,109.30","3,982.90","4,110.80","3,951.50","","3.48%"
"03/19/2023","3,971.00","3,917.50","4,039.50","3,909.20","","1.39%"
"03/12/2023","3,916.60","3,835.10","3,964.50","3,808.90","","1.42%"
"03/05/2023","3,861.60","4,055.20","4,078.50","3,846.30","","-4.55%"
"02/26/2023","4,045.60","3,992.40","4,048.30","3,928.20","","1.90%"
"02/19/2023","3,970.00","4,052.30","4,052.30","3,943.10","","-2.67%"
"02/12/2023","4,079.10","4,096.60","4,159.80","4,047.90","","-0.28%"
"02/05/2023","4,090.50","4,119.60","4,176.50","4,060.80","","-1.11%"
"01/29/2023","4,136.50","4,049.30","4,195.40","4,015.60","","1.62%"
"01/22/2023","4,070.60","3,978.10","4,094.20","3,949.10","","2.47%"
